runid,dataset,alg,lambd,eta,M,K,T,local_batch,seed,record_intvl,final_loss,best_loss
0827T161223Z_TrQsEl,a9a,1,0.001,0.001,256,1,4096,1,1,512,0.3340379722931503,0.3340379722931503
0827T160044Z_WSDrts,a9a,0,0.001,1.0,8,32,4096,1,1,512,0.4727717736099125,0.4727717736099125
0827T155632Z_BY506a,a9a,5,0.001,0.2,2048,64,4096,1,1,512,0.3417279630530319,0.3417279630530319
0827T153951Z_V6m9wk,a9a,5,0.001,0.05,1,128,4096,1,1,512,0.3952096145660694,0.3952096145660694
0827T162420Z_bPRyHh,a9a,2,0.001,0.001,256,128,4096,1,1,512,0.5359128527954633,0.5359128527954633
0827T154435Z_dvpj9u,a9a,5,0.001,0.2,8,32,4096,1,1,512,0.34308907411779,0.34308907411779
0827T162305Z_4F0aQb,a9a,2,0.001,0.001,8,64,4096,1,1,512,0.4705046706985755,0.4705046706985755
0827T154236Z_qZx7kp,a9a,5,0.001,0.01,4,2,4096,1,1,512,0.4594353854213669,0.4594353854213669
0827T154254Z_5Z4WRW,a9a,5,0.001,0.05,4,128,4096,1,1,512,0.36268510869275,0.36268510869275
0827T154342Z_fuAuNN,a9a,5,0.001,10.0,4,256,4096,1,1,512,5.01558364968061,1.1451013886529824
0827T151628Z_Zc428m,a9a,2,0.001,0.01,8,4,4096,1,1,512,0.3447157897793478,0.3401238963119688
0827T154222Z_OSJztG,a9a,5,0.001,0.002,4,4,4096,1,1,512,0.698392338090032,0.698392338090032
0827T145307Z_GDTZ7m,a9a,1,0.001,0.02,8,2,4096,1,1,512,0.3709677195686932,0.3619508181450491
0827T162221Z_LDvhiy,a9a,2,0.001,0.001,1,8,4096,1,1,512,0.4770957172980415,0.4608806149061927
0827T153325Z_Pre96R,a9a,5,0.001,0.05,8,4,4096,1,1,512,0.3596639463246809,0.3596639463246809
0827T155959Z_AZiLCb,a9a,0,0.001,0.001,1,64,4096,1,1,512,0.777914316671372,0.777914316671372
0827T160920Z_K1pqL3,a9a,0,0.001,0.001,2048,256,4096,1,1,512,0.7796705468508824,0.7796705468508824
0827T162432Z_y0MT3q,a9a,2,0.001,0.2,256,128,4096,1,1,512,0.3378834098393568,0.337180793778918
0827T162758Z_ndeipF,a9a,2,0.001,0.002,2048,32,4096,1,1,512,0.4497370159289224,0.4434123547023087
0827T161919Z_jsiwU7,a9a,1,0.001,0.2,2048,64,4096,1,1,512,0.3380164813630996,0.3369417268920968
0827T145314Z_z9OFRo,a9a,1,0.001,0.05,4,1,4096,1,1,512,0.6216501302980878,0.6216501302980878
0827T145233Z_nTL7JI,a9a,0,0.001,0.05,1,2,4096,1,1,512,0.3952096145660694,0.3816145560737722
0827T160013Z_XA2YyE,a9a,0,0.001,2.0,1,128,4096,1,1,512,2.2657639204056306,1.1451013886529824
0827T161551Z_dpKjzq,a9a,1,0.001,0.01,2048,8,4096,1,1,512,0.3334630336104733,0.3334630336104733
0827T145309Z_dd5ff7,a9a,1,0.001,0.05,1,1,4096,1,1,512,2.235187080082373,1.1451013886529824
0827T154951Z_Rfs8z0,a9a,5,0.001,5.0,8,64,4096,1,1,512,2.110677750229045,1.1451013886529824
